author,qtd_livros,media_avaliacao
a. scott berg,4,2.41
aileen schumacher,4,2.61
alan snow,3,0
allan nevins,2,4.5
allen d bragdon,2,2.5
amy j. fetzer,19,1.53
ann walker,2,2.5
anne capeci,6,0.58
anne m. duquette,4,0.53
annette funicello,3,9.17
annie waters,2,7.33
avi shlaim,2,2.25
barbara ankrum,7,1.79
barbara freese,2,3.96
benjamin hoff,12,4.82
beth wagner brust,2,4
betsy hearne,3,0
betty berzon,3,0.78
beverly lowry,4,0.75
bob dole,2,2
brooks haxton,2,4.17
burke davis,5,2.5
c. c. medina,2,0
c. lang,2,3.63
carl zimmer,3,3.61
carol beach york,16,1.15
catherine salton,2,0.38
charmaine craig,2,2.28
chris burke,2,4
christin lore weber,2,0.8
christine nã¶stlinger,2,4
chuck berry,2,4
constance o'day-flannery,25,1.64
d. b. borton,2,0
d. bolander,4,0.63
david ives,2,4.5
dee henderson,17,3.83
doug hornig,2,2
dylan jones,3,3.33
edna st. vincent millay,8,3.73
edwin. newman,2,4.5
eliza clark,2,0.5
ellen wittlinger,4,2.56
fernando fernã¡n gã³mez,5,5.7
francois truffaut,2,7.5
frank peretti,16,3.99
george dyson,2,7.75
gloria g. brame,2,8
goldberry long,2,0.64
grace chetwin,2,0
gustavo adolfo becquer,11,5.16
hannah hinchman,2,0
harold bell wright,3,3.78
heidi holder,2,8.75
helen dewitt,3,2.48
helen hodgman,3,0
howard thurman,2,2.5
jane o'boyle,4,2.56
jaqueline girdner,12,1.77
jennifer l. holm,8,1.47
jill winters,3,4.69
joe hayes,2,0
joel conarroe,3,1.5
john e. stith,9,1.69
john lehmann,2,0
"johnny ray, jr barnes",9,1
jonathan cott,4,5.5
just for me series,2,0
karen e. taylor,7,2.58
keith devlin,2,0
keith hernandez,2,0
ken hanke,2,4
kenneth abel,9,2.84
kirin narayan,2,1.67
larry hodgson,6,3.92
lawrence j. greene,2,0
lester brown,3,5.33
lewis spence,4,3.42
lorna j. sass,2,9
lucy kavaler,3,0.56
lynette vinet,8,0.63
m. c. sumner,3,6.11
marcus major,3,7.33
margaret logan,3,3
marjorie kellogg,3,0
martha southgate,3,4
matthew reinhart,3,5
michael forsyth,2,7.5
michael kasner,2,0
michael v. angrosino,2,3
michi fujimoto,4,0
miguel ruiz,3,4.28
murphy,2,5
nadine miller,2,3.75
nora kay,2,0
ole risom,5,0.4
p.m. carlson,6,0.83
pat brady,8,3.5
pat pollari,2,0.5
patrick morley,7,1.33
paul nichols,2,3.5
paul sloane,9,5.91
payne harrison,4,2.5
peggy bechko,2,2.5
peter m. leschak,2,2
peter schweighofer,2,1.12
r. u. slime,2,0
reese brothers,2,6
richard h. minear,2,1.17
robert skutch,2,7
robyn carr,11,2.28
rosalind kerven,3,0
sandra field,31,1.05
shannon hollis,2,3.38
shashi tharoor,6,4.38
stephan sarek,2,1.33
stephen knight,6,5
steve martini,9,2.97
sylvia brown,2,4
teresa mcclain-watson,2,4
tom raabe,2,2.7
tulku thondup,3,3.33
viki woodworth,2,0
walter irwin,17,0.29
walter jon williams,14,2.32
ward carroll,4,0.71
warren miller,2,0
william irwin,3,3.52
william miller,4,3.38
yann martel,8,3.78
suzannah lessard,2,3.33
adrian rogers,2,3.5
albert jacquard,4,4
alberto ruy sanchez,2,0
aleksandr solzhenitsyn,6,3.5
alison clement,2,1.29
alvin toffler,10,0.66
andrew taylor,14,1.82
andrzej szczypiorski,7,3.92
anne emery,2,7
anthony smith,2,3.75
antoine bello,4,1.42
arielle ford,5,4.07
atiq rahimi,2,2.5
audrey schulman,8,1.51
barthe declements,17,2.05
bentley little,24,2.35
bruder ty,2,3
calixthe beyala,4,4.5
carmel mcconnell,2,3.5
carmen renee berry,7,3.84
cheryl howe,3,4.37
chris anderson,2,2.58
christina jones,2,0
christine pullein-thompson,6,5.17
christopher b. rowley,2,0
clarissa mcnair,2,0
colin higgins,2,2.43
dale bailey,2,0.5
david wong louie,2,2.64
dean james,7,5.74
debra carroll,5,0.5
diana mars,3,0.78
diane redfield massie,2,0
dolores kennedy,2,2.75
dougal dixon,14,6.75
ed mcgaa,2,5.45
editors of prevention magazine health books,2,5.25
edward lear,10,2.78
edward topol,3,0
ellen currie,4,1.88
ernest shackleton,5,4.37
ev ehrlich,2,0.8
francine mathews,10,2.32
frank paoni,2,2
fred goodman,3,4.4
frederic raphael,6,3.11
g. a. henty,4,0.88
gary ezzo,7,2.64
gerard manley hopkins,3,1.27
hajo banzhaf,3,6.67
henry glassie,3,5
hilda stahl,19,0.87
iain banks,21,2.68
ian mcdonald,9,1.53
ingo f. walther,2,3.5
isabel allende,95,3.48
jack c harris,2,0
jack c. haldeman,2,0
jack schaefer,5,3.7
james hilton,10,3.18
james m cain,5,3.07
jan mcdaniel,3,0.5
jane calabria,2,3.5
janet hickman,3,0
