author,title,year,book_order,avg_rating,num_ratings,prev_year,years_since_last
a'lelia bundles,On Her Own Ground : The Life and Times of Madam C.J. Walker (Lisa Drew Books (Paperback)),2002,2,3,3,2001,1
"a. b., jr. guthrie",Murders at Moon Dance,1993,2,0,2,1980,13
a. c. baantjer,Dekok and the Sorrowing Tomcat,2001,2,0,1,1993,8
a. c. parfitt,Brooklyn Beckham: The Secret Diary,2001,2,3.6666666666666665,6,2001,0
a. h. almaas,"Diamond Heart, Book One : Elements of the Real in Man (The Diamond Heart Series , No 1)",2000,2,0,1,2000,0
a. j. holt,Watch Me,1996,2,3.35,20,1995,1
a. j. holt,Internet Kill. Psycho- Thriller.,1997,3,0,2,1996,1
a. j. holt,Catch Me,1999,4,5.5,2,1997,2
a. j. holt,Catch Me (A Jay Fletcher Thriller),2001,5,1.25,12,1999,2
a. m. homes,The Safety of Objects,1999,2,1.75,8,1991,8
a. m. homes,Music for Torching,1999,3,4.5,6,1999,0
a. m. homes,Music for Torching,2000,4,2.3333333333333335,3,1999,1
a. m. homes,Things You Should Know : A Collection of Stories,2002,5,3,3,2000,2
a. m. homes,Safety of Objects,2003,6,2.625,8,2002,1
a. m. homes,Things You Should Know : A Collection of Stories,2003,7,0,1,2003,0
a. m. monson,The Secret of Sanctuary Island,1992,2,0,1,1991,1
a. m. monson,Wanted: Best Friend,1997,3,3.25,4,1992,5
a. w. tozer,Divine Conquest,1992,2,0,1,1978,14
a. zee,Einstein's Universe: Gravity at Work and Play,2001,2,0,1,1987,14
a.a. milne,Once on a Time,1988,2,4.25,4,1987,1
a.a. milne,When We Were Very Young,1988,3,2.6666666666666665,6,1988,0
a.a. milne,Now We Are Six,1988,4,1.5,6,1988,0
a.a. milne,"Pooh's Library: Winnie-The-Pooh, the House at Pooh Corner, When We Were Very Young, Now We Are Six",1989,5,10,1,1988,1
a.a. milne,"Is That You, Winnie-the-Pooh?: A Lift the Flap Book",1990,6,0,1,1989,1
a.a. milne,Piglet Is Entirely Surrounded by Water: Pop-Up Storybook (A Winnie-the-Pooh pop-up storybook),1991,7,10,1,1990,1
a.a. milne,Pooh and Piglet Go Hunting (Pooh Jewelry Book),1992,8,5,2,1991,1
a.a. milne,Winnie-The-Pooh,1992,9,2.9545454545454546,22,1992,0
a.a. milne,The Complete Winnie-the-Pooh,1992,10,0,1,1992,0
a.a. milne,Eeyore Has a Birthday (A Winnie the Pooh Storybook),1993,11,4.5,4,1992,1
a.a. milne,Christopher Robin Leads an Expedition (A Winnie the Pooh Storybook),1993,12,5,2,1993,0
a.a. milne,Kanga and Baby Roo Come to the Forest (A Winnie the Pooh Storybook),1993,13,2.5,4,1993,0
a.a. milne,Winnie-The-Pooh's Teatime Cookbook,1993,14,10,1,1993,0
a.a. milne,Eeyore Loses a Tail (A Winnie-the-Pooh Storybook),1993,15,9,2,1993,0
a.a. milne,Pooh and Piglet Go Hunting (A Winnie-the-Pooh Storybook),1993,16,0,1,1993,0
a.a. milne,WHEN WE WERE VERY YOUNG(749702095,1995,17,8,1,1993,2
a.a. milne,All About Pooh (Winnie-the-Pooh),1995,18,0,1,1995,0
a.a. milne,Pooh: Now We Are Seventy,1996,19,8.5,2,1995,1
a.a. milne,Pooh's Bedtime Book,1996,20,10,1,1996,0
a.a. milne,How to Catch a Heffalump (Winnie The Pooh),1998,21,0,2,1996,2
a.a. milne,Winnie The Pooh and Tigger Too,1999,22,5,2,1998,1
a.a. milne,House at Pooh Corner,2000,23,3.3333333333333335,3,1999,1
a.e. hotchner,The Man Who Lived at the Ritz: A Novel by,1982,2,2,4,1979,3
a.e. hotchner,Hemingway and His World/1718196,1989,3,10,1,1982,7
a.e. hotchner,Blown Away/a No-Holds-Barred Portrait of the Rolling Stones and the Sixties,1991,4,3,2,1989,2
a.j. orde,Dead on Sunday,1994,2,4,2,1992,2
a.j. orde,Death for Old Times' Sake,1994,3,6,3,1994,0
a.j. orde,Death of Innocents (Jason Lynx Mystery),1997,4,0,1,1994,3
a.j. quinnell,Siege of Silence,1987,2,0,2,1987,0
a.j. quinnell,In the Name of the Father,1988,3,0,3,1987,1
