author,qtd_livros,media_nota,desvio_nota,ano_medio,cluster
david a. kaufelt,8,0.63,1.77,1989,3
david brenner,4,1.5,1.73,1991,3
david norwood,5,1.28,1.46,1988,3
david robinson,3,4.33,4.04,1987,1
donna fletcher crow,7,1.18,2.61,1994,3
elizabeth grayson,6,4.25,2.09,1998,1
emmuska orczy orczy,3,4.28,3.71,1995,1
erich kastner,3,3,2.65,1978,3
esther dyson,3,2.33,2.52,1998,3
etta wilson,4,0,0,1992,3
eugene o'neill,8,2.81,3.54,1989,1
frances fyfield,27,1.73,2.69,1996,0
frank burleson,4,0.88,1.75,1996,3
frida kahlo,3,2.42,2.18,1995,3
giorgio bassani,5,3,4.24,1990,1
giorgio bocca,3,2.33,4.04,1994,1
harvey mackay,7,3.16,3.48,1995,1
heinz gã?â¼nther konsalik,27,1.31,2.62,1988,0
helen elaine lee,3,1.42,1.34,1998,3
howard anton,3,0,0,1991,3
ingmar bergman,9,2.67,4.12,1991,1
iris hiskey,3,3,5.2,1992,1
jane mcfann,4,1.5,3,1993,3
janny wurts,21,3.28,3.37,1996,1
joan anderson,6,2.65,3.93,1998,1
john dickson carr,28,0.91,1.99,1988,3
john gilstrap,7,2.29,1.21,1999,3
jonathan stone,5,2.49,2.7,2001,1
joseph gibaldi,6,4.69,2.75,1995,1
karl schroeder,3,5.27,3.29,2002,1
kathy jones,5,5.85,3.18,1990,1
ken forsse,8,2.89,2.52,1985,3
ken gross,5,1.9,3.05,1995,1
kimberly raye,17,1.42,1.09,2000,3
kurtz,9,3.75,3.15,1980,1
laura gordon,9,1.6,3.24,1996,1
linda gray sexton,7,2.52,2.57,1992,3
linda sue park,4,3.34,2.56,2002,1
lois t. henderson,3,4.17,4.01,1984,1
lorraine johnson-coleman,3,3.67,4.04,1998,1
lou kassem,6,3,2.37,1991,3
louise riotte,4,0,0,1996,3
madhur jaffrey,8,4.13,2.8,1993,1
malvina g. vogel,3,4.44,3.86,1994,1
marjorie j. dietz,3,3.67,3.21,1987,1
mary casanova,6,1.97,3.62,2000,1
mayra montero,4,2.88,3.27,1999,1
michael palmer,28,2.04,1.72,1997,0
michael prescott,7,2.39,1.6,2001,3
nikola hahn,5,3.82,3.21,2001,1
paul bailey,8,2.13,3.04,1991,3
paul gray,3,3.78,4.67,2000,1
penelope leach,10,1.51,2.13,1989,3
peter douglas ward,4,8.5,0.58,2001,1
peter woll,3,2.67,4.62,1994,1
petros markaris,3,3.33,4.04,2003,1
robert newcomb,3,3.98,1.36,2003,1
roy johansen,5,1,2.24,2001,3
ryu murakami,6,4.25,3.49,1998,1
salle merrill redfield,4,2.38,4.42,1996,1
sharon gordon,15,1.51,2.28,1985,3
sheila kitzinger,16,5.02,4.08,1988,1
sonja bullaty,6,2.17,4.02,1988,1
stephen schneck,4,0,0,1975,3
steve chalke,3,6,1.73,2001,1
steven emerson,3,0,0,1998,3
suzy mckee charnas,14,2.13,2.7,1990,3
tilman spengler,4,0,0,2000,3
timothy parker,5,1.59,2.19,1995,3
tom clancy,172,2.86,2.58,1998,2
ursula dubosarsky,3,0.78,1.35,1995,3
valerie wood,3,2,1.73,1998,3
vonda mcintyre,3,0.33,0.58,1987,3
walt disney staff,7,1.43,2.7,1990,3
walter anderson,5,2.71,4.36,1992,1
walter winward,4,0.42,0.83,1984,3
wayne grady,3,5.33,2.52,1995,1
william r. forstchen,18,2.76,3.04,1996,1
yves navarre,3,0,0,1989,3
alan watts,13,3.44,2.88,1984,1
anne deveson,3,4.5,5.07,1998,1
anne michaels,5,4.5,2.12,1999,1
annette b. natow,9,2.22,3.42,1995,1
annette tison,3,1.83,2.75,1981,3
anthony hyde,6,0.38,0.68,1994,3
bess willingham,5,1.6,3.58,1998,1
brian andreas,5,7,4.47,1999,1
